State name,Latitude,Longitude,District code,District name,Population,Households_with_Internet,sex_ratio,literacy_rate
MANIPUR,25.08465586034914,94.03366234413956,272,Senapati,479148,256,937.34,55.2
MANIPUR,24.98312942238265,93.49450740072204,273,Tamenglong,140651,125,943.47,60.44
MANIPUR,24.30309718875504,93.38671506024085,274,Churachandpur,274143,837,974.81,71.47
MANIPUR,24.50712111801243,93.8246236024845,275,Bishnupur,237399,676,998.61,65.85
MANIPUR,24.545392553191498,93.97959893617023,276,Thoubal,422168,880,1002.27,63.79
MANIPUR,25.05900314960629,94.44129566929138,279,Ukhrul,183998,276,942.59,70.56
MANIPUR,24.2635812987013,94.09443844155844,280,Chandel,144182,184,933.28,62.63
MIZORAM,23.73852942502819,92.4330803833147,281,Mamit,86364,90,926.56,69.69
MIZORAM,24.2020004347826,92.73470391304348,282,Kolasib,83955,367,956.17,78.49
MIZORAM,23.90781335453101,92.85359459459472,283,Aizawl,400309,4019,1008.88,85.08
MIZORAM,23.54166580976866,93.24221799485862,284,Champhai,125745,186,983.74,80.16
MIZORAM,23.263864705882344,92.914158496732,285,Serchhip,64937,131,976.71,83.89
MIZORAM,23.007717036172675,92.63512555425892,286,Lunglei,161428,482,947.47,75.03
MIZORAM,22.36102843137253,92.66964156862753,287,Lawngtlai,117894,162,945.48,53.32
MIZORAM,22.35744801061008,93.02827931034489,288,Saiha,56574,168,978.53,74.65
TRIPURA,23.780166241299337,91.41310788863107,289,West Tripura,1725739,6394,962.34,78.89
TRIPURA,23.211874098057383,91.6065807585568,290,South Tripura,876001,948,957.35,73.84
TRIPURA,23.781360477941163,91.94654283088232,291,Dhalai,378230,273,944.19,73.03
TRIPURA,24.121739755351683,92.17842538226292,292,North Tripura,693947,997,966.64,74.99
MEGHALAYA,25.495285185185185,90.03709947089942,293,West Garo Hills,643291,1630,984.49,55.76
MEGHALAYA,25.82728228228228,90.64684924924916,294,East Garo Hills,317917,288,971.91,60.44
MEGHALAYA,25.240568578553614,90.64560349127176,295,South Garo Hills,142334,179,945.25,57.65
MEGHALAYA,25.500889926739926,91.25364542124538,296,West Khasi Hills,383461,149,979.51,60.16
MEGHALAYA,25.303763888888884,91.75922519841272,298,East Khasi Hills,825922,5032,1010.77,69.99
MEGHALAYA,25.33959557069844,92.37608160136298,299,Jaintia Hills,395124,510,1013.01,47.46
ASSAM,26.497246635730868,90.13997470997688,300,Kokrajhar,887142,1218,958.78,55.16
ASSAM,26.017277777777807,90.59869891598912,302,Goalpara,1008183,1364,964.15,55.9
ASSAM,26.427872264631056,90.97912010178116,303,Barpeta,1693622,2078,953.42,52.97
ASSAM,26.26462170626351,92.9306191144708,305,Nagaon,2823768,5121,962.16,60.58
ASSAM,26.73514926829268,92.85197804878044,306,Sonitpur,1924110,4358,955.59,57.61
ASSAM,27.14128805970149,94.0775949253732,307,Lakhimpur,1042137,1948,967.51,65.59
ASSAM,27.586533438485816,94.71336908517353,308,Dhemaji,686133,1192,953.41,61.65
ASSAM,27.53549291139241,95.69055949367085,309,Tinsukia,1327929,5135,952.17,60.12
ASSAM,27.30612284482757,95.0998282327587,310,Dibrugarh,1326335,8817,960.78,66.69
ASSAM,26.76244824016563,94.30197722567289,312,Jorhat,1092256,5651,961.65,72.78
